id,work_order_id,technician_id,created_at,note_type,content
1,3,1,2026-03-12 08:30:00,arrival,"Arrived Eagle Farm Cold Storage. Signed in at security gate. PPE donned -- hi-vis, steel caps, safety glasses. Met ops manager Craig. Freezer Hall A alarm active -- temp display showing -12C, setpoint -22C. Temp has been rising for 3 hours. Approx $200K of frozen meat and seafood product in this hall."
2,3,1,2026-03-12 09:45:00,diagnosis,"Inspected Bitzer CSH8573-140Y compressor unit. Condenser fan motor seized -- shaft will not rotate by hand. Bearing failure confirmed. High pressure fault -- discharge pressure 28 bar (cutout set at 25 bar, compressor cycling on/off every 4 minutes). Connected gauges: suction 2.8 bar, discharge fluctuating 22-28 bar during cycles. No refrigerant leak -- electronic sniffer negative around shaft seal, service valves, and sight glass. Condenser coil fouled with dust/debris -- airflow restricted even if motor was running. Oil level in sight glass midpoint -- acceptable."
3,3,1,2026-03-12 10:15:00,parts_request,"Need: 1x FM-300W condenser fan motor (300W 3-phase 415V 50Hz), 1x CONT-40A contactor (existing contactor contacts showing pitting). Motor is OUT OF STOCK in warehouse -- checking supplier availability. Requesting emergency order from Regal Beloit -- ETA tomorrow morning. Temporary measure: arranged portable cooling unit from Kennards Hire to hold product temps overnight."
4,3,1,2026-03-12 14:30:00,update,"Portable cooling unit delivered and connected to Freezer Hall A. Temp stabilising at -15C -- not ideal but will hold product. Motor confirmed available from supplier -- delivery scheduled 2026-03-14 morning. Will return tomorrow afternoon to complete repair. Ops manager Craig aware of timeline. Product safe for now -- bakery and seafood rated for -18C minimum, holding at -15C is within 24hr tolerance per client's food safety plan."
5,3,1,2026-03-12 16:00:00,departure,"Departing Eagle Farm. Portable cooling running stable. Client has my mobile for overnight emergency. Returning 2026-03-14 13:00 for motor installation (WO-36 raised for follow-up repair). Estimated 3-4 hours for motor swap, contactor replacement, condenser clean, and recommissioning."
6,9,3,2026-03-01 07:30:00,arrival,"Arrived Southbank Hotel. Contacted duty manager -- directed to Kitchen B1. Water pooling around grease trap area, approximately 5cm standing water around trap access. Secondary drain flowing but slowly. Kitchen operating on limited service -- prep area sink unusable. Hotel has function tonight for 200 guests -- kitchen needs to be fully operational by 3pm."
7,9,3,2026-03-01 08:15:00,diagnosis,"Opened grease trap access -- trap at approximately 90% capacity. Heavy grease/fat accumulation. Trap was last professionally cleaned 6 weeks ago (maintenance log shows monthly schedule -- overdue). Inserted camera into main drain line -- blockage visible at 3.2m from entry. Compacted mass of solidified cooking fat, food scraps, and soap residue. Pipe diameter 100mm PVC -- no structural damage visible on camera. Secondary drain camera check shows early grease accumulation at 1.5m but still flowing."
8,9,3,2026-03-01 09:00:00,update,"Running 32mm electric eel through main drain. Blockage clearing -- retrieved large compacted grease plug (approx 15cm long, full pipe diameter). Flushing line with 80C hot water from kitchen boiler tap. Water flowing freely now. Starting grease trap cleanout."
9,9,3,2026-03-01 10:30:00,update,"Grease trap fully cleaned -- removed approximately 45 litres of waste into disposal drum. Disposed via hotel's licensed waste contractor (Brown & Hurley, account on file). Reinstalled trap baskets and baffles. Running water test -- both drains flowing freely at full kitchen water pressure. No odour from cleaned lines."
10,9,3,2026-03-01 11:00:00,customer_contact,"Briefed kitchen manager Tony on findings: (1) grease trap must be cleaned monthly -- 6-week interval is too long for this kitchen's volume, (2) showed staff the proper procedure for disposing of cooking oil into waste drums (currently pouring small amounts down sink), (3) installed stainless steel drain strainer basket in main prep sink to catch food scraps. Tony agreed to monthly cleaning schedule and staff re-training. Provided written maintenance recommendation."
11,9,3,2026-03-01 11:30:00,departure,Job complete. Kitchen fully operational -- Tony confirmed all stations working. Total time on site 4 hours (estimated 3 -- overrun due to extensive trap cleaning). Booked quarterly preventive drain maintenance -- next service 2026-06-01. Departing site.
12,8,4,2026-03-03 09:00:00,arrival,On site Brisbane City Tower Level 5. Swipe access provided by reception. Tenant reports thermostat screen blank since Monday -- unable to adjust temperature. Other floors unaffected.
13,8,4,2026-03-03 09:30:00,diagnosis,"Wireless thermostat CR2032 batteries depleted -- measured 1.8V each (should be 3V minimum). Thermostat lost pairing with Daikin BRC1H controller. Inspected controller wiring -- all connections secure, no corrosion. Controller powered and displaying normally. Issue isolated to thermostat batteries only."
14,8,4,2026-03-03 10:15:00,departure,"Replaced CR2032 batteries x2. Re-paired thermostat using pairing mode on BRC1H. Tested all modes -- heating 28C response in 25 seconds, cooling 18C response in 30 seconds. Set weekly schedule per tenant: 22C weekdays 7am-6pm, 18C nights and weekends. Signal strength -45dBm -- good. Job complete -- tenant confirmed working."
15,15,4,2026-03-14 07:30:00,arrival,"NOC alert received 06:45 -- Server Hall 1 supply air 22C, setpoint 18C. 4C deviation. Arrived on site 07:30. Escorted by NOC operator to Server Hall 1. Backup cooling active but NOC reports it can only maintain 23C -- primary unit must be restored."
16,15,4,2026-03-14 09:00:00,diagnosis,"Daikin ACAS140 rooftop unit inspection. Connected gauges -- suction 7.2 bar (low, should be 8.0-8.5 bar for R410A at 18C supply). Discharge 24.1 bar. Subcooling 2K (should be 6-8K). Superheat 12K (should be 8-10K). Low subcooling + high superheat = undercharge pattern. EEV stepping motor responding to controller but hunting -- oscillating 15-85% open every 30 seconds. Suspect slow refrigerant leak. Electronic sniffer detecting trace R410A at Schrader valve caps -- possible core depression."
17,15,4,2026-03-14 11:00:00,update,"Replaced both Schrader valve cores -- old cores showing deterioration. Added 2kg R410A. Monitoring: suction now 8.1 bar, discharge 25.5 bar, subcooling climbing to 5K and stabilising. EEV settling at 42% -- no longer hunting. Supply air temp dropping -- currently 19.2C. Will monitor for 2 hours to confirm stable operation and check for further leaks."
18,36,1,2026-03-14 13:00:00,arrival,Returned to Eagle Farm Cold Storage for condenser fan motor replacement. Replacement FM-300W motor arrived from Regal Beloit this morning. Also carrying CONT-40A replacement contactor. Freezer temp currently -15C on portable cooling (still above -22C setpoint). Signed in at security -- same PPE as last visit.
19,36,1,2026-03-14 14:30:00,update,Old motor removed -- confirmed bearing seized solid. New FM-300W installed and wired. Replaced contactor -- old CONT-40A contacts heavily pitted (arcing marks visible). Condenser coil cleaned with nitrogen purge and coil cleaner while unit was offline. Reassembled and starting up.
20,36,1,2026-03-14 16:00:00,update,Unit running. Condenser fan drawing 2.4A (rated 2.8A -- good). Discharge pressure dropping -- currently 16.2 bar and trending down (was 28 bar before repair). Suction pressure 3.0 bar -- compressor running continuously to pull temp down. Freezer Hall A temp currently -16C and dropping approx 1C per 30 minutes. Estimate 3-4 hours to reach -22C setpoint. Will check in with Craig tomorrow morning for final sign-off. Portable cooling unit can be returned tomorrow once setpoint achieved.
