id,customer_id,equipment_id,title,description,priority,status,technician_id,created_date,scheduled_date,completed_date,estimated_hours,actual_hours,diagnosis,resolution
1,1,1,AC not cooling Level 12,Tenant complaints of 28C temps despite AC running continuously. Level 12 Plant Room B Daikin RZQS250 unit. Building manager requests urgent attention -- tenant threatening lease review.,high,open,,2026-03-13,,,4.0,,,
2,2,4,Kitchen coolroom temp rising,"Coolroom 1 temp at 8C, should be 2C. Food safety risk -- $15K of perishables at risk. Duty manager requesting urgent response before lunch service.",emergency,assigned,1,2026-03-14,2026-03-14,,3.0,,,
3,4,6,Freezer compressor alarm -- product at risk,"Bitzer CSH8573 high pressure alarm triggered. Freezer Hall A temp rising from -22C setpoint, currently at -12C. Estimated $200K frozen product at risk. Ops manager requesting immediate attendance.",emergency,in_progress,1,2026-03-12,2026-03-12,,6.0,,High pressure fault on Bitzer CSH8573-140Y. Condenser fan motor seized -- bearing failure. Compressor cycling on HP cutout every 4 minutes. Refrigerant charge holding at 18kg -- no leak detected on electronic sniffer. Condenser coil fouled with dust/debris reducing airflow.,
4,3,8,Hot water system leaking,Customer reports puddle under HWS unit. Slow drip from PTR valve area. No gas smell reported.,medium,cancelled,,2026-03-13,,,2.0,,,Customer called back -- drip has stopped. Believes it was PTR discharge during heat cycle (normal operation). Advised to monitor and call back if recurs. Cancelled per customer request.
5,6,10,Emergency lighting quarterly test remediation,Quarterly emergency lighting test -- 6 of 24 units failed to illuminate on battery. AS/NZS 2293.2 compliance deadline 2026-03-31. Non-compliance risks facility licence.,high,assigned,2,2026-03-11,2026-03-15,,4.0,,,
6,5,9,AC making grinding noise,Resident reports grinding/rattling noise from Mitsubishi indoor unit when running in heating mode. Unit still producing heat. Noise started approximately one week ago and is worsening.,medium,open,,2026-03-10,,,2.0,,,
7,7,11,UPS battery replacement -- scheduled,Scheduled battery replacement per manufacturer 3-year cycle. 40x 12V 9Ah batteries required. NOC to coordinate power redundancy switchover. Critical facility -- zero downtime requirement.,low,assigned,4,2026-03-08,2026-03-18,,8.0,,,
8,1,2,Thermostat not responding Level 5,Tenant on Level 5 reports thermostat screen blank. Cannot adjust temperature. Has been like this since Monday. Other levels unaffected.,low,completed,4,2026-03-01,2026-03-03,2026-03-03,1.5,1.25,"Wireless thermostat battery depleted (CR2032 x2, measured 1.8V -- should be 3V). Signal lost to Daikin BRC1H controller. Inspected wiring from controller to indoor unit -- no faults found. Controller firmware v2.4 current.","Replaced thermostat batteries (CR2032 x2). Re-paired wireless thermostat to Daikin BRC1H controller using pairing mode. Tested heating and cooling modes -- responding correctly within 30 seconds. Set schedule per tenant request (22C weekdays 7am-6pm, 18C nights/weekends). Confirmed signal strength -45dBm (good)."
9,2,,Blocked kitchen drain -- main prep area,Kitchen staff report water pooling around grease trap during peak service. Slow drainage in main prep area sink. Secondary drain still functioning but backup risk during dinner service.,medium,completed,3,2026-02-28,2026-03-01,2026-03-01,3.0,4.0,"Grease trap at 90% capacity -- last cleaned 6 weeks ago (should be monthly). Main drain line blocked 3.2m from entry point with compacted fat/food/soap buildup. Camera inspection revealed partial restriction, not full blockage. Secondary drain functional but showing early signs of grease accumulation.","Cleared blockage with 32mm electric eel -- retrieved compacted grease plug. Flushed line with 80C hot water for 15 minutes. Cleaned and degreased grease trap -- removed 45L of waste. Checked secondary drain -- flowing freely. Installed drain strainer basket in prep sink. Advised kitchen manager: (1) grease trap needs monthly cleaning, (2) staff training on proper oil/fat disposal into waste drums not sinks, (3) booked quarterly maintenance schedule. Next service due 2026-06-01."
10,8,13,Ducted AC uneven cooling,Bedrooms cool to setpoint but living area stays 4-5C above setpoint. System running but airflow feels weak from living room vents. Filter was replaced 3 months ago by homeowner.,medium,open,,2026-03-09,,,3.0,,,
