id,technician_id,work_order_id,date,start_time,end_time,schedule_type,notes
1,1,2,2026-03-14,08:00,12:00,job,Southbank Hotel coolroom emergency
2,1,36,2026-03-14,13:00,17:00,job,Eagle Farm freezer motor replacement -- return visit
3,1,13,2026-03-16,09:00,13:00,job,Murarrie Bakery coolroom door seal
4,1,,2026-03-17,08:00,16:00,training,Daikin VRV advanced certification training
5,2,,2026-03-14,10:00,14:00,job,Currently on job -- external site
6,2,5,2026-03-15,08:00,12:00,job,Fortitude Valley Medical emergency lighting
7,2,,2026-03-18,08:00,12:00,job,Scheduled morning block
8,3,,2026-03-15,08:00,10:00,job,Morning callout -- residential plumbing
9,3,,2026-03-17,08:00,16:00,job,Full day -- multi-site plumbing inspections
10,3,,2026-03-19,13:00,17:00,job,Afternoon plumbing jobs
11,4,15,2026-03-14,07:00,15:00,job,Hemmant Data Centre server hall temp issue
12,4,7,2026-03-18,09:00,17:00,job,Hemmant Data Centre UPS battery replacement
13,4,,2026-03-19,08:00,12:00,training,Electrical safety refresher -- SafeWork QLD
14,5,,2026-03-14,,,leave,Annual leave -- returns 2026-03-21
15,5,,2026-03-15,,,leave,Annual leave
16,5,,2026-03-16,,,leave,Annual leave
17,5,,2026-03-17,,,leave,Annual leave
18,6,,2026-03-15,13:00,17:00,job,Afternoon residential -- Toowong
19,6,,2026-03-18,08:00,16:00,job,Full day West Brisbane maintenance run
20,7,12,2026-03-30,08:00,16:00,job,Coorparoo State School Block B AC service
21,7,,2026-03-15,08:00,12:00,job,Morning electrical jobs -- South Brisbane
22,8,,2026-03-14,08:00,14:00,job,Morning maintenance run -- East Brisbane
23,8,,2026-03-16,08:00,14:00,job,Wednesday scheduled block
24,9,,2026-03-14,07:00,16:00,job,External subcontract job
25,10,33,2026-03-17,16:00,19:00,job,Woolloongabba Day Surgery emergency lighting test
26,6,,2026-03-21,08:00,16:00,job,Weekend emergency on-call
